police_narrative,n_words,year,report_category,main_situation_class
FUH/FLUGT,1,2023,Anmsuh,7
FUH/FLUGT,1,2023,Anmsuh,7
112-BLANKET: FUH.,2,2023,Exuh,0
Ingen beskrivelse.,2,2023,Anmsuh,2
Opdateres snarest...,2,2023,Anmsuh,8
FUH/FLUGT,1,2023,Anmsuh,3
FUH/FLUGT,1,2023,Anmsuh,0
P-kort.,1,2023,Exuh,0
P-kort:,1,2023,Exuh,2
Solouheld.,1,2023,Anmsuh,0
112: FUH,2,2024,Anmsuh,4
FUH/FLUGT,1,2023,Anmsuh,7
P-kort optaget,2,2024,Exuh,1
P-kort.,1,2024,Exuh,1
P-kort.,1,2024,Anmsuh,1
Parkeringsskade. FUH-flugt.,2,2024,Anmsuh,7
Personpåkørsel,1,2024,Pskduh,8
VIGEPLIGT/BAKNING,1,2024,Anmsuh,6
Højresvingsulykke.,1,2024,Pskduh,3
P-kort,1,2024,Exuh,1
P-kort udfærdiget.,2,2024,Exuh,0
P-KORT.,1,2024,Exuh,1
P-kort.,1,2024,Exuh,1
P-kort.,1,2024,Exuh,7
112: FUH,2,2024,Anmsuh,4
P-kort,1,2024,Exuh,0
112: FUH,2,2024,Anmsuh,4
FUH u/P-skade.,2,2024,Mskduh,0
FUH flugt/Vigepligt,2,2024,Exuh,5
Pkort.,1,2024,Exuh,7
FUH. Vigepligtforseelse.,2,2025,Anmsuh,4
y,1,2025,Anmsuh,1
P-kort.,1,2025,Exuh,1
P-KORT:,1,2025,Exuh,1
XX,1,2025,Anmsuh,1
P-kort,1,2025,Exuh,1
MB999999999999 P-kort.,2,2025,Exuh,1
FUH flugt.,2,2025,Anmsuh,0
P-kort,1,2025,Exuh,9
MB999999999999,1,2025,Pskduh,4
P-kort.,1,2025,Exuh,8
P-kort,1,2025,Exuh,7
P-kort.,1,2025,Exuh,1
P-kort,1,2025,Exuh,7
MB999999999999,1,2025,Pskduh,2
P-kort,1,2025,Exuh,1
MB999999999999.,1,2025,Pskduh,8
P-kort.,1,2025,Exuh,1
P-kort.,1,2025,Exuh,7
P-kort,1,2025,Exuh,2
P-kort.,1,2025,Exuh,1
XX,1,2025,Mskduh,3
MB999999999999,1,2026,Anmsuh,1
MB999999999999,1,2026,Anmsuh,5
