police_narrative,n_chars,n_words,year,report_category,main_situation_class
p-kort,6,1,2020,Exuh,1
P-KORT,6,1,2020,Anmsuh,1
Sigtede kørte mod,17,3,2020,Anmsuh,0
"Part 1 Sort peugot,",19,4,2020,Exuh,0
FUH-flugt.,10,1,2020,Anmsuh,1
"""Ingen tekst"" /JBN",18,3,2020,Anmsuh,7
"Part 1,",7,2,2020,Mskduh,6
112: FUH 2 biler.,17,4,2020,Anmsuh,6
...,3,1,2020,Anmsuh,1
Via 112 - 2 biler,17,5,2020,Anmsuh,3
FUH.,4,1,2020,Mskduh,6
FUH.,4,1,2020,Pskduh,4
Person,6,1,2021,Exuh,7
Mand ramt af bil.,17,4,2021,Pskduh,8
FUH,3,1,2021,Anmsuh,2
P-KORT,6,1,2021,Exuh,7
Via 112. AMB-FUH,16,3,2021,Anmsuh,6
FUH,3,1,2021,Anmsuh,2
112 AMB FUH,11,3,2021,Anmsuh,0
P-kort.,7,1,2021,Exuh,8
SoloFUH,7,1,2021,Mskduh,0
Via 112 - FUH.,14,4,2021,Exuh,1
FUH AMB - 2 biler,17,5,2021,Anmsuh,4
.,1,1,2021,Anmsuh,3
Ingen bemærkninger,18,2,2021,Exuh,7
FUH uden ambulance.,19,3,2021,Exuh,0
112 AMB FUH,11,3,2021,Anmsuh,3
VIA 112. Mindre FUH,19,4,2021,Anmsuh,1
VIA 112. FUH,12,3,2021,Anmsuh,5
Eftersættelse,13,1,2021,Anmsuh,7
FUH - 2 biler.,14,4,2022,Mskduh,1
P-kort udfærdiget,17,2,2022,Exuh,1
P1 kørte i grøften,18,4,2022,Anmsuh,0
P-kort,6,1,2022,Exuh,1
Bil påkørt hæk.,15,3,2022,Anmsuh,0
FUH,3,1,2022,Anmsuh,1
P-kort.,7,1,2022,Exuh,1
P-kort.,7,1,2022,Exuh,3
P-kort,6,1,2022,Exuh,8
Sigtede kørt gal,16,3,2022,Anmsuh,0
Højresvingsulykke,17,1,2022,Anmsuh,3
cykel mod bil,13,3,2022,Exuh,1
Materielt FUH.,14,2,2022,Anmsuh,2
Part,4,1,2022,Anmsuh,1
Intet oplyst,12,2,2022,Anmsuh,7
Via 112: FUH.,13,3,2022,Anmsuh,3
Ved Cirkle K,12,3,2022,Anmsuh,7
FUH-flugt.,10,1,2022,Anmsuh,3
FUH solo-uheld,14,2,2022,Anmsuh,7
VIA112: FUH 2 biler,19,4,2022,Anmsuh,6
VIA 112. FUH,12,3,2022,Anmsuh,2
POLITI FUH.,11,2,2023,Anmsuh,1
Vigepligt.,10,1,2022,Anmsuh,6
P-kort,6,1,2023,Exuh,1
FUH/FLUGT,9,1,2023,Anmsuh,5
FUH FLUGT,9,2,2023,Anmsuh,7
P:KORT,6,1,2023,Exuh,7
FUH/FLUGT,9,1,2023,Anmsuh,1
FUH/FLUGT,9,1,2023,Anmsuh,1
VIGEPLIGT,9,1,2023,Anmsuh,8
P-kort,6,1,2023,Exuh,1
FUH/FLUGT,9,1,2023,Anmsuh,3
FUH: Part 1 førte,17,4,2023,Anmsuh,2
Færdselsuheld.,14,1,2023,Mskduh,1
Åbning af bildør.,17,3,2023,Anmsuh,7
VIGEPLIGT,9,1,2023,Anmsuh,4
P-kort.,7,1,2023,Exuh,1
FUH/FLUGT,9,1,2023,Anmsuh,7
Påkørsel bagfra.,16,2,2023,Anmsuh,1
FUH/FLUGT,9,1,2023,Anmsuh,1
FUH/FLUGT,9,1,2023,Anmsuh,7
VIGEPLIGT,9,1,2023,Anmsuh,8
"Part 1,",7,2,2023,Anmsuh,3
Påkørsel af bil.,16,3,2023,Exuh,7
FUH sprit,9,2,2023,Anmsuh,1
P-kort.,7,1,2023,Anmsuh,1
FUH/FLUGT,9,1,2023,Anmsuh,1
FUH - Vigepligt,15,3,2023,Anmsuh,4
FUH/FLUGT,9,1,2023,Anmsuh,7
FUH/FLUGT,9,1,2023,Anmsuh,7
112-BLANKET: FUH.,17,2,2023,Exuh,0
Ingen beskrivelse.,18,2,2023,Anmsuh,2
FUH/FLUGT,9,1,2023,Anmsuh,3
FUH/FLUGT,9,1,2023,Anmsuh,0
FUH m. 2 biler.,15,4,2023,Mskduh,4
FUH / § 53. B11-43.,19,5,2023,Anmsuh,1
P-kort.,7,1,2023,Exuh,0
P-kort:,7,1,2023,Exuh,2
FUH. Bil mod cykel,18,4,2023,Anmsuh,5
Solouheld.,10,1,2023,Anmsuh,0
112: FUH,8,2,2024,Anmsuh,4
FUH/FLUGT,9,1,2023,Anmsuh,7
MAT FUH - 2 biler.,18,5,2024,Anmsuh,2
P-kort optaget,14,2,2024,Exuh,1
P-kort.,7,1,2024,Exuh,1
P-kort.,7,1,2024,Anmsuh,1
Personpåkørsel,14,1,2024,Pskduh,8
VIGEPLIGT/BAKNING,17,1,2024,Anmsuh,6
Højresvingsulykke.,18,1,2024,Pskduh,3
Part 1 førte,12,3,2024,Exuh,1
P-kort,6,1,2024,Exuh,1
P-kort udfærdiget.,18,2,2024,Exuh,0
P-KORT.,7,1,2024,Exuh,1
P-kort.,7,1,2024,Exuh,1
P-kort.,7,1,2024,Exuh,7
112: FUH,8,2,2024,Anmsuh,4
112. AMB FUH. /kbo,18,4,2024,Pskduh,1
112. AMB FUH. /kbo,18,4,2024,Anmsuh,4
U-VENDING FL § 18,17,4,2024,Anmsuh,1
P-kort,6,1,2024,Exuh,0
112. AMB FUH /KBO,17,4,2024,Anmsuh,3
112: FUH,8,2,2024,Anmsuh,4
FUH u/P-skade.,14,2,2024,Mskduh,0
FUH flugt/Vigepligt,19,2,2024,Exuh,5
Pkort.,6,1,2024,Exuh,7
P-kort. Tre biler.,18,3,2025,Anmsuh,1
y,1,1,2025,Anmsuh,1
P-kort.,7,1,2025,Exuh,1
P-KORT:,7,1,2025,Exuh,1
112. AMB FUH.,13,3,2025,Pskduh,3
XX,2,1,2025,Anmsuh,1
P-kort,6,1,2025,Exuh,1
VIA 112: AMB FUH.,17,4,2025,Mskduh,1
FUH flugt.,10,2,2025,Anmsuh,0
P-kort,6,1,2025,Exuh,9
MB999999999999,14,1,2025,Pskduh,4
P-kort.,7,1,2025,Exuh,8
P-kort,6,1,2025,Exuh,7
P-kort.,7,1,2025,Exuh,1
P-kort,6,1,2025,Exuh,7
AMB FUH - to biler,18,5,2025,Exuh,1
MB999999999999,14,1,2025,Pskduh,2
P-kort,6,1,2025,Exuh,1
MB999999999999.,15,1,2025,Pskduh,8
P-kort.,7,1,2025,Exuh,1
bil kørt ind i hus.,19,5,2025,Anmsuh,0
P-kort.,7,1,2025,Exuh,7
P-kort,6,1,2025,Exuh,2
P-kort.,7,1,2025,Exuh,1
112 - AMB-fuh.,14,3,2025,Anmsuh,1
2 biler kørt sammen,19,4,2025,Anmsuh,6
P02 påkørt af P01.,18,4,2025,Exuh,2
XX,2,1,2025,Mskduh,3
P-kort. Se disp.,16,3,2025,Exuh,6
MB999999999999,14,1,2026,Anmsuh,1
MB999999999999,14,1,2026,Anmsuh,5
