report_category,0,1,2,3,4,5,6,7,8,9
Anmsuh,0.16117492886910736,0.18745498978784694,0.04999822910640709,0.10886273213463514,0.07667969257287227,0.08829675454234207,0.13774010365630499,0.12646541444813053,0.045016115131695456,0.018311039750658183
Exuh,0.30752919145186164,0.32056895792024676,0.04780788719982375,0.0464171623705662,0.01089171623705662,0.020378938092090768,0.019676690901079534,0.14869740030843798,0.026823088786076227,0.05120896673276052
Mskduh,0.21039344574640373,0.22835095741640468,0.07297323044679432,0.05001428979708488,0.09355053824902353,0.13156139849480805,0.09812327331618557,0.08226159855196723,0.0014289797084881394,0.03134228827283986
Pskduh,0.18255275150308276,0.13372649638111286,0.08340673227894152,0.11071114004518821,0.07586259717382147,0.0975759200398269,0.11013671351434151,0.03699306858652778,0.15199326006203806,0.017041320415118907
